Iter: [0], loss D: [1.292809], loss G: [0.693118], logits real: [0.200799], logits fake: [0.000064]
Iter: [100], loss D: [1.371717], loss G: [0.600055], logits real: [0.335094], logits fake: [0.204322]
Iter: [200], loss D: [1.392605], loss G: [0.790116], logits real: [-0.185210], logits fake: [-0.185312]
Iter: [300], loss D: [1.387071], loss G: [0.734697], logits real: [-0.075615], logits fake: [-0.081439]
Iter: [400], loss D: [1.385577], loss G: [0.697592], logits real: [-0.013279], logits fake: [-0.008841]
Iter: [500], loss D: [1.387216], loss G: [0.710666], logits real: [-0.045718], logits fake: [-0.034686]
Iter: [600], loss D: [1.386343], loss G: [0.697361], logits real: [-0.004023], logits fake: [-0.008385]
Iter: [700], loss D: [1.388479], loss G: [0.673790], logits real: [0.038109], logits fake: [0.039285]
Iter: [800], loss D: [1.388085], loss G: [0.686611], logits real: [0.027717], logits fake: [0.013127]
Iter: [900], loss D: [1.387526], loss G: [0.703136], logits real: [0.013532], logits fake: [-0.019819]
Iter: [1000], loss D: [1.388067], loss G: [0.661998], logits real: [0.070797], logits fake: [0.063575]
Iter: [1100], loss D: [1.384935], loss G: [0.664960], logits real: [0.043292], logits fake: [0.057420]
Iter: [1200], loss D: [1.385512], loss G: [0.708465], logits real: [-0.024499], logits fake: [-0.030330]
Iter: [1300], loss D: [1.386365], loss G: [0.702949], logits real: [-0.005765], logits fake: [-0.019485]
Iter: [1400], loss D: [1.385917], loss G: [0.707375], logits real: [-0.012661], logits fake: [-0.028202]
Iter: [1500], loss D: [1.386483], loss G: [0.703382], logits real: [-0.019123], logits fake: [-0.020349]
Iter: [1600], loss D: [1.384309], loss G: [0.727203], logits real: [-0.034596], logits fake: [-0.066797]
Iter: [1700], loss D: [1.386448], loss G: [0.701038], logits real: [-0.001395], logits fake: [-0.015703]
Iter: [1800], loss D: [1.390844], loss G: [0.690519], logits real: [-0.047225], logits fake: [0.005267]
Iter: [1900], loss D: [1.381850], loss G: [0.731236], logits real: [-0.045145], logits fake: [-0.074318]
Iter: [2000], loss D: [1.385013], loss G: [0.713156], logits real: [-0.041777], logits fake: [-0.039526]
